first_name,last_name,gender,birth_date,customer_num,phone_num
Laura,Tran,FEMALE,2003-10-07,CUST-65896,349-462-8315
Brittney,Murphy,FEMALE,1952-10-23,CUST-40815,272-803-2279x016
Curtis,Jefferson,MALE,1986-10-19,CUST-62261,(239)620-4902x645
Jorge,Riddle,MALE,2001-10-22,CUST-27003,471.755.6910x48691
Erika,Perry,FEMALE,1992-04-07,CUST-33520,+1-341-182-1930x8111
Becky,Leon,FEMALE,1970-06-11,CUST-52713,668.142.6594x6793
Jacob,Thompson,FEMALE,1968-08-29,CUST-60657,549-969-8198
Tammy,Jones,MALE,1964-10-30,CUST-42350,728-280-4979
Joseph,Johnson,FEMALE,1947-07-12,CUST-98582,(165)645-3560
Jessica,Ross,MALE,1941-02-11,CUST-70313,891.805.6049
Alexandria,Eaton,FEMALE,2001-01-16,CUST-49784,387-276-0204
Brian,Hayes,FEMALE,1973-11-07,CUST-43263,(729)892-6141x685
Jose,Jones,MALE,1966-07-23,CUST-62432,954-001-2346x582
Carrie,Higgins,FEMALE,2000-12-16,CUST-46852,+1-693-786-4837x187
Charles,Owens,MALE,1969-12-13,CUST-18055,091.075.3510x8514
Kayla,Holland,MALE,1948-11-14,CUST-64490,+1-065-983-4466
Christopher,Soto,FEMALE,1977-10-28,CUST-29657,534-644-1944x396
Sarah,Rodriguez,MALE,1937-07-01,CUST-79020,001-297-952-8824
Troy,Hawkins,FEMALE,1979-09-09,CUST-87042,001-103-732-5330
Melissa,Barrett,FEMALE,1973-02-01,CUST-18760,450.781.2454x60792
William,Craig,FEMALE,1992-06-03,CUST-13417,(055)238-9110
Christopher,Gordon,MALE,1996-01-14,CUST-99289,293-455-3166x9204
Karen,Kane,FEMALE,1956-12-25,CUST-83992,+1-088-411-6452x56431
Thomas,Castillo,MALE,1994-06-03,CUST-07216,464.753.5610x54573
Kathleen,Greene,MALE,1990-10-10,CUST-34837,456-492-1722x603
Jessica,Hernandez,MALE,1936-10-15,CUST-55853,(990)292-6191x230
Joyce,Brock,MALE,1999-07-03,CUST-73733,448.927.7725
Daniel,Griffin,MALE,1989-02-16,CUST-56217,+1-132-567-5520
Jose,Johnson,FEMALE,1981-01-04,CUST-45823,180-451-5046x29036
Michelle,Garrett,FEMALE,1965-08-10,CUST-16355,+1-546-235-7424x82740
Joshua,Montes,FEMALE,1983-01-02,CUST-11507,934-292-8311
Stephanie,Gomez,FEMALE,1970-07-23,CUST-53521,153.452.5442x911
Justin,Short,FEMALE,1986-07-25,CUST-68837,(319)138-8281
